2026-01-13, 22:23:45, 3, InsertionSort, 0.000004
2026-01-13, 22:23:45, 3, InsertionSort, 0.000003
2026-01-13, 23:24:56, 3, InsertionSort, 0.000003
2026-01-13, 23:24:56, 3, InsertionSort, 0.000003
2026-01-13, 23:26:33, 3, InsertionSort, 0.000003
2026-01-13, 23:26:33, 3, InsertionSort, 0.000003
2026-01-13, 23:26:40, 68, InsertionSort, 0.000280
2026-01-13, 23:26:40, 835, InsertionSort, 0.042673
2026-01-13, 23:26:40, 1503, InsertionSort, 0.118795
2026-01-13, 23:26:43, 7014, InsertionSort, 2.786391
2026-01-13, 23:26:52, 12024, InsertionSort, 8.635906
2026-01-13, 23:28:16, 3, InsertionSort, 0.000003
2026-01-13, 23:28:16, 3, InsertionSort, 0.000003
